Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196401,"Water - Precipitation - rain & snow (""mixed"")",1964-01-15,1964-01-01,1964-01-31,,,,,,,,,18,0.6,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196402,Water - Precipitation - rain,1964-02-15,1964-02-01,1964-02-29,,,,,,,,,33,3.5,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196403,Water - Precipitation - rain,1964-03-15,1964-03-01,1964-03-31,,-10.9,"Centre for Isotope Research, CIO",-80.8,"Centre for Isotope Research, CIO",,,,32,2.4,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196404,Water - Precipitation - rain,1964-04-15,1964-04-01,1964-04-30,,-8.5,"Centre for Isotope Research, CIO",-56.3,"Centre for Isotope Research, CIO",,,,47,9.2,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196405,Water - Precipitation - rain,1964-05-15,1964-05-01,1964-05-31,,-6,"Centre for Isotope Research, CIO",-38.1,"Centre for Isotope Research, CIO",,,,43,14.4,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196406,Water - Precipitation - rain,1964-06-15,1964-06-01,1964-06-30,,-7,"Centre for Isotope Research, CIO",-48.5,"Centre for Isotope Research, CIO",,,,51,16,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196407,Water - Precipitation - rain,1964-07-15,1964-07-01,1964-07-31,,-4.4,"Centre for Isotope Research, CIO",-25,"Centre for Isotope Research, CIO",,,,50,16.7,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196408,Water - Precipitation - rain,1964-08-15,1964-08-01,1964-08-31,,-5.3,"Centre for Isotope Research, CIO",-30.4,"Centre for Isotope Research, CIO",,,,76,16.8,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196409,Water - Precipitation - rain,1964-09-15,1964-09-01,1964-09-30,,-8.4,"Centre for Isotope Research, CIO",-45.3,"Centre for Isotope Research, CIO",,,,51,14.9,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196410,Water - Precipitation - rain,1964-10-15,1964-10-01,1964-10-31,,-9.2,"Centre for Isotope Research, CIO",-61.1,"Centre for Isotope Research, CIO",,,,73,8.9,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196411,Water - Precipitation - rain,1964-11-15,1964-11-01,1964-11-30,,-6.8,"Centre for Isotope Research, CIO",-39.7,"Centre for Isotope Research, CIO",,,,28,6.8,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196412,"Water - Precipitation - rain & snow (""mixed"")",1964-12-15,1964-12-01,1964-12-31,,-6.8,"Centre for Isotope Research, CIO",-40.7,"Centre for Isotope Research, CIO",,,,96,2.9,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196501,"Water - Precipitation - rain & snow (""mixed"")",1965-01-15,1965-01-01,1965-01-31,,-8,"Centre for Isotope Research, CIO",-56.1,"Centre for Isotope Research, CIO",,,,89,3.1,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196502,"Water - Precipitation - rain & snow (""mixed"")",1965-02-15,1965-02-01,1965-02-28,,-5.2,"Centre for Isotope Research, CIO",-28.2,"Centre for Isotope Research, CIO",,,,23,2.8,,,
GNIP,GNIP/M/NL/01,GRONINGEN,NL,628001,53.23,6.55,1,Precipitation collectors - unknown,[Partners: Centruum voor IsotopenOnderzoek],196503,Water - Precipitation - rain,1965-03-15,1965-03-01,1965-03-31,,-9.7,"Centre for Isotope Research, CIO",-68.6,"Centre for Isotope Research, CIO",,,,43,4.4,,,
