Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200001,"Water - Precipitation - rain & snow (""mixed"")",2000-01-15,2000-01-01,2000-01-31,,,,,,,,,35.8,8.1,7.1
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200002,"Water - Precipitation - rain & snow (""mixed"")",2000-02-15,2000-02-01,2000-02-29,,-6.2,"Laboratorio de Aplicaciones Nucleares, CEDEX",-38.6,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",0.3,13.6,9
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200003,"Water - Precipitation - rain & snow (""mixed"")",2000-03-15,2000-03-01,2000-03-31,,-2.6,"Laboratorio de Aplicaciones Nucleares, CEDEX",-9.2,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",57,14.8,9.2
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200004,Water - Precipitation - rain,2000-04-15,2000-04-01,2000-04-30,,-4.56,"Laboratorio de Aplicaciones Nucleares, CEDEX",-32.8,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",75.7,16.1,11
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200005,Water - Precipitation - rain,2000-05-15,2000-05-01,2000-05-31,,-4.25,"Laboratorio de Aplicaciones Nucleares, CEDEX",-31.9,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",42.9,20.8,16.5
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200006,Water - Precipitation - rain,2000-06-15,2000-06-01,2000-06-30,,-5.79,"Laboratorio de Aplicaciones Nucleares, CEDEX",-41.6,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",36.5,23.9,18.4
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200007,Water - Precipitation - rain,2000-07-15,2000-07-01,2000-07-31,,0.43,"Laboratorio de Aplicaciones Nucleares, CEDEX",-0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.3,25.9,18.9
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200008,Water - Precipitation - rain,2000-08-15,2000-08-01,2000-08-31,,-0.55,"Laboratorio de Aplicaciones Nucleares, CEDEX",-1,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",13.4,26.9,20.5
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200009,Water - Precipitation - rain,2000-09-15,2000-09-01,2000-09-30,,-4.06,"Laboratorio de Aplicaciones Nucleares, CEDEX",-17.8,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",23.1,23.9,18.2
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200010,Water - Precipitation - rain,2000-10-15,2000-10-01,2000-10-31,,-4.96,"Laboratorio de Aplicaciones Nucleares, CEDEX",-26.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",191.1,18.7,13.6
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200011,"Water - Precipitation - rain & snow (""mixed"")",2000-11-15,2000-11-01,2000-11-30,,-5.55,"Laboratorio de Aplicaciones Nucleares, CEDEX",-42.9,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",27.4,13.3,9.8
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200012,"Water - Precipitation - rain & snow (""mixed"")",2000-12-15,2000-12-01,2000-12-31,,-5.03,"Laboratorio de Aplicaciones Nucleares, CEDEX",-28.6,"Laboratorio de Aplicaciones Nucleares, CEDEX",4.11,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",70.2,11.7,10.1
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200101,"Water - Precipitation - rain & snow (""mixed"")",2001-01-15,2001-01-01,2001-01-31,,-5.4,"Laboratorio de Aplicaciones Nucleares, CEDEX",-39.5,"Laboratorio de Aplicaciones Nucleares, CEDEX",6.29,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",16.6,11.1,9.1
GNIP,GNIP/M/ES/01,TORTOSA,ES,823801,40.8203002,0.493333172,50,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200102,"Water - Precipitation - rain & snow (""mixed"")",2001-02-15,2001-02-01,2001-02-28,,-5.77,"Laboratorio de Aplicaciones Nucleares, CEDEX",-43.9,"Laboratorio de Aplicaciones Nucleares, CEDEX",6.29,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",11.2,11.8,8.2
