Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200001,"Water - Precipitation - rain & snow (""mixed"")",2000-01-15,2000-01-01,2000-01-31,,,,,,,,,19,9.1,8,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200002,"Water - Precipitation - rain & snow (""mixed"")",2000-02-15,2000-02-01,2000-02-29,,-2.66,"Laboratorio de Aplicaciones Nucleares, CEDEX",-18.2,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",33.3,11.5,11.3,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200003,"Water - Precipitation - rain & snow (""mixed"")",2000-03-15,2000-03-01,2000-03-31,,-8.24,"Laboratorio de Aplicaciones Nucleares, CEDEX",-58.1,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",100.4,10.5,10.8,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200004,Water - Precipitation - rain,2000-04-15,2000-04-01,2000-04-30,,-6.9,"Laboratorio de Aplicaciones Nucleares, CEDEX",-44,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",159.7,12.7,11.3,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200005,Water - Precipitation - rain,2000-05-15,2000-05-01,2000-05-31,,-2.45,"Laboratorio de Aplicaciones Nucleares, CEDEX",-14.4,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",32.9,15.3,14.7,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200006,Water - Precipitation - rain,2000-06-15,2000-06-01,2000-06-30,,-2.72,"Laboratorio de Aplicaciones Nucleares, CEDEX",-2.6,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",35.6,17.6,16.6,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200007,Water - Precipitation - rain,2000-07-15,2000-07-01,2000-07-31,,-5.23,"Laboratorio de Aplicaciones Nucleares, CEDEX",-28.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",61.4,19,18.5,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200008,Water - Precipitation - rain,2000-08-15,2000-08-01,2000-08-31,,-4.73,"Laboratorio de Aplicaciones Nucleares, CEDEX",-21,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",64.8,20.2,19.1,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200009,Water - Precipitation - rain,2000-09-15,2000-09-01,2000-09-30,,-5.75,"Laboratorio de Aplicaciones Nucleares, CEDEX",-29.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",139.6,19,17.9,,
GNIP,GNIP/M/ES/01,SANTANDER (I-CMT),ES,802301,43.49111613,-3.800555816,52,Precipitation collectors - unknown,These data are integrated in GNIP from the Spanish Network of Isotopes in Precipitation (REVIP) managed by the Centro de Estudios y Experimentación de Obras Públicas (CEDEX) in collaboration with the Agencia Estatal de Meteorología (AEMET).,200010,Water - Precipitation - rain,2000-10-15,2000-10-01,2000-10-31,,-6.24,"Laboratorio de Aplicaciones Nucleares, CEDEX",-35.4,"Laboratorio de Aplicaciones Nucleares, CEDEX",3.69,0.3,"Laboratorio de Aplicaciones Nucleares, CEDEX",211.9,15.4,14.3,,
