Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196908,Water - Precipitation - rain,1969-08-15,1969-08-01,1969-08-31,,-6.69,University of Copenhagen,-54,University of Copenhagen,31.4,2,Institute of Geological and Nuclear Sciences,96,28.6,33,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196909,Water - Precipitation - rain,1969-09-15,1969-09-01,1969-09-30,,-8.25,University of Copenhagen,-54,University of Copenhagen,37.7,1.5,International Atomic Energy Agency,304,28.2,33.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196910,Water - Precipitation - rain,1969-10-15,1969-10-01,1969-10-31,,-6.27,University of Copenhagen,-35.9,University of Copenhagen,25.4,1.4,International Atomic Energy Agency,159,28.6,32.8,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196911,Water - Precipitation - rain,1969-11-15,1969-11-01,1969-11-30,,-5.63,University of Copenhagen,-32.9,University of Copenhagen,26.2,1.2,International Atomic Energy Agency,94,26.6,27.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196912,Water - Precipitation - rain,1969-12-15,1969-12-01,1969-12-31,,,,,,,,,2,25.1,23,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197001,Water - Precipitation - rain,1970-01-15,1970-01-01,1970-01-31,,,,,,,,,1,27.2,27.3,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197002,Water - Precipitation - rain,1970-02-15,1970-02-01,1970-02-28,,-0.56,University of Copenhagen,1.4,University of Copenhagen,20.1,1.2,International Atomic Energy Agency,68,27.7,30.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197003,Water - Precipitation - rain,1970-03-15,1970-03-01,1970-03-31,,-1.52,University of Copenhagen,-9.9,University of Copenhagen,20.3,1.2,International Atomic Energy Agency,45,29.4,34.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197004,Water - Precipitation - rain,1970-04-15,1970-04-01,1970-04-30,,-3.35,University of Copenhagen,-17.3,University of Copenhagen,23.6,1.7,International Atomic Energy Agency,158,29.7,34.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197005,Water - Precipitation - rain,1970-05-15,1970-05-01,1970-05-31,,-5.78,University of Copenhagen,-36.8,University of Copenhagen,16.3,1.8,International Atomic Energy Agency,283,30.7,37.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197006,Water - Precipitation - rain,1970-06-15,1970-06-01,1970-06-30,,-6.61,University of Copenhagen,-46.9,University of Copenhagen,25.4,1.2,International Atomic Energy Agency,301,29.2,33,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197007,Water - Precipitation - rain,1970-07-15,1970-07-01,1970-07-31,,-7.25,University of Copenhagen,-48,University of Copenhagen,34.1,1.7,International Atomic Energy Agency,189,28.6,31.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197008,Water - Precipitation - rain,1970-08-15,1970-08-01,1970-08-31,,-6.94,University of Copenhagen,-46.3,University of Copenhagen,40.6,2.4,International Atomic Energy Agency,144,28.4,32.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197009,Water - Precipitation - rain,1970-09-15,1970-09-01,1970-09-30,,-8.82,University of Copenhagen,-58.2,University of Copenhagen,26.2,1.3,International Atomic Energy Agency,355,28.7,33.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197010,Water - Precipitation - rain,1970-10-15,1970-10-01,1970-10-31,,-10.17,University of Copenhagen,-66.6,University of Copenhagen,21.4,1.6,International Atomic Energy Agency,187,27.9,30.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197011,Water - Precipitation - rain,1970-11-15,1970-11-01,1970-11-30,,-5.46,University of Copenhagen,-29.4,University of Copenhagen,18.7,1.1,International Atomic Energy Agency,50,27.2,28.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197012,Water - Precipitation - rain,1970-12-15,1970-12-01,1970-12-31,,-6.29,University of Copenhagen,-46.7,University of Copenhagen,22,1.5,International Atomic Energy Agency,103,26.5,28.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197101,Water - Precipitation - unspecified (not reported),1971-01-15,1971-01-01,1971-01-31,,,,,,,,,,24.8,24.6,,
