Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200901,"Water - Precipitation - no rain (""dry"")",2009-01-15,2009-01-01,2009-01-31,,,,,,,,,,27.7,27.3
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200902,Water - Precipitation - rain,2009-02-15,2009-02-01,2009-02-28,,,,,,,,,16.5,28.5,29.5
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200903,Water - Precipitation - rain,2009-03-15,2009-03-01,2009-03-31,,,,,,,,,32.2,28.9,30.1
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200904,Water - Precipitation - rain,2009-04-15,2009-04-01,2009-04-30,,,,,,,,,237.7,27.4,28.6
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200905,Water - Precipitation - rain,2009-05-15,2009-05-01,2009-05-31,,,,,,,,,207.9,27.53,29.6
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200906,Water - Precipitation - rain,2009-06-15,2009-06-01,2009-06-30,,,,,,,,,609.1,26.8,29.7
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200907,Water - Precipitation - rain,2009-07-15,2009-07-01,2009-07-31,,,,,,,,,151.2,25.6,28.8
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200908,Water - Precipitation - rain,2009-08-15,2009-08-01,2009-08-31,,-2.55,International Atomic Energy Agency,-10.61,International Atomic Energy Agency,,,,15.9,25.5,28.3
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200909,Water - Precipitation - rain,2009-09-15,2009-09-01,2009-09-30,,-3.06,International Atomic Energy Agency,-11.25,International Atomic Energy Agency,,,,30.8,26.4,29
GNIP,GNIP/M/BJ/01,COTONOU (IITA ABOMEY-CALAVI),BJ,6534403,6.417169444,2.329255556,14,Precipitation collectors - unknown,"Partners: IITA, Abomey-Calavi; Université d’Abomey-Calavi",200910,"Water - Precipitation - no rain (""dry"")",2009-10-15,2009-10-01,2009-10-31,,-3.11,International Atomic Energy Agency,-14.43,International Atomic Energy Agency,,,,117.15,28.3,32.6
