Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196001,Water - Precipitation - rain,1960-01-15,1960-01-01,1960-01-31,,,,,,,,,132,13.1,10.9
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196002,Water - Precipitation - rain,1960-02-15,1960-02-01,1960-02-29,,,,,,,,,32,13.2,11
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196003,Water - Precipitation - rain,1960-03-15,1960-03-01,1960-03-31,,,,,,,,,67,14.8,11.4
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196004,Water - Precipitation - rain,1960-04-15,1960-04-01,1960-04-30,,,,,,,,,10,17.6,12.4
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196005,Water - Precipitation - rain,1960-05-15,1960-05-01,1960-05-31,,,,,,,,,1,22.8,13.8
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196006,Water - Precipitation - unspecified (not reported),1960-06-15,1960-06-01,1960-06-30,,,,,,,,,,23.1,17.5
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196007,Water - Precipitation - unspecified (not reported),1960-07-15,1960-07-01,1960-07-31,,,,,,,,,,25.3,20.3
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196008,Water - Precipitation - unspecified (not reported),1960-08-15,1960-08-01,1960-08-31,,,,,,,,,,25.8,21.2
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196009,Water - Precipitation - unspecified (not reported),1960-09-15,1960-09-01,1960-09-30,,,,,,,,,,24.2,19
GNIP,GNIP/M/IL/01,BET DAGAN,IL,4017900,31.99730278,34.81616111,39,Precipitation collectors - unknown,"[Partner: Weizmann Institute of Science, Rehovot]",196010,Water - Precipitation - unspecified (not reported),1960-10-15,1960-10-01,1960-10-31,,,,,,,,,,22.4,16.2
