Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196101,Water - Precipitation - unspecified (not reported),1961-01-15,1961-01-01,1961-01-31,,-0.4,University of Copenhagen,2.5,University of Copenhagen,,,,4,15.1,11.6
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196102,Water - Precipitation - unspecified (not reported),1961-02-15,1961-02-01,1961-02-28,,-2.2,University of Copenhagen,-5,University of Copenhagen,31.9,,Technische Hochschule,46,15.4,13.9
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196103,Water - Precipitation - unspecified (not reported),1961-03-15,1961-03-01,1961-03-31,,-1.8,University of Copenhagen,-12.4,University of Copenhagen,17.3,,Technische Hochschule,51,18.3,18
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196104,Water - Precipitation - unspecified (not reported),1961-04-15,1961-04-01,1961-04-30,,-3.2,University of Copenhagen,-19.9,University of Copenhagen,25.5,,Technische Hochschule,172,22,21.6
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196105,Water - Precipitation - unspecified (not reported),1961-05-15,1961-05-01,1961-05-31,,-8.2,University of Copenhagen,-54.5,University of Copenhagen,18.2,,Technische Hochschule,214,25.3,26.1
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196106,Water - Precipitation - unspecified (not reported),1961-06-15,1961-06-01,1961-06-30,,-4.9,University of Copenhagen,-33.5,University of Copenhagen,24.8,,Technische Hochschule,121,28.7,31.4
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196107,Water - Precipitation - unspecified (not reported),1961-07-15,1961-07-01,1961-07-31,,-7.4,University of Copenhagen,-45.2,University of Copenhagen,28.7,,Technische Hochschule,492,28.3,31.9
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196108,Water - Precipitation - unspecified (not reported),1961-08-15,1961-08-01,1961-08-31,,-7.2,University of Copenhagen,-48.3,University of Copenhagen,22.4,,Technische Hochschule,462,27.9,31.5
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196109,Water - Precipitation - unspecified (not reported),1961-09-15,1961-09-01,1961-09-30,,-11.9,University of Copenhagen,-77.5,University of Copenhagen,142,5.7,International Atomic Energy Agency,535,27,29.9
GNIP,GNIP/M/CN/01,HONG KONG (KING'S PARK),CN,4500400,22.31666667,114.1666667,66,Precipitation collectors - unknown,[Partner: Hong Kong Observatory],196110,Water - Precipitation - unspecified (not reported),1961-10-15,1961-10-01,1961-10-31,,-5.5,University of Copenhagen,-49,University of Copenhagen,137,5.6,International Atomic Energy Agency,31,25.8,22.9
