Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199601,Water - Precipitation - snow,1996-01-15,1996-01-01,1996-01-31,,-16.4,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-124,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,35,-11,2.5
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199602,Water - Precipitation - snow,1996-02-15,1996-02-01,1996-02-29,,-11.5,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-87.4,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,42,-9.8,3.1
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199603,Water - Precipitation - snow,1996-03-15,1996-03-01,1996-03-31,,-13.3,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-109.6,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,34,-5.4,3.6
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199604,Water - Precipitation - rain,1996-04-15,1996-04-01,1996-04-30,,-7.3,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-66.2,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,24,6.9,6.5
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199605,Water - Precipitation - rain,1996-05-15,1996-05-01,1996-05-31,,-4.5,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-36.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,47,18.1,10.7
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199606,Water - Precipitation - rain,1996-06-15,1996-06-01,1996-06-30,,-5.2,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-38.6,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,57,17.9,11.9
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199607,Water - Precipitation - rain,1996-07-15,1996-07-01,1996-07-31,,-6.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-53.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,78,19.9,13.4
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199608,Water - Precipitation - rain,1996-08-15,1996-08-01,1996-08-31,,-6.8,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-51,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,20,18.8,10.8
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199609,Water - Precipitation - rain,1996-09-15,1996-09-01,1996-09-30,,-9.8,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-67.5,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,88,11.3,9.4
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199610,Water - Precipitation - rain,1996-10-15,1996-10-01,1996-10-31,,-10.1,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-72.5,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,48,6.7,8
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199611,"Water - Precipitation - rain & snow (""mixed"")",1996-11-15,1996-11-01,1996-11-30,,-8.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-60.6,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,49,4.3,7.7
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199612,Water - Precipitation - snow,1996-12-15,1996-12-01,1996-12-31,,-13.4,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-98.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,31,-7.3,3.7
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199701,Water - Precipitation - snow,1997-01-15,1997-01-01,1997-01-31,,-11.8,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-94.7,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,21,-7.5,3.1
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199702,Water - Precipitation - snow,1997-02-15,1997-02-01,1997-02-28,,-11.8,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-90.3,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,49,-4.9,3.9
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199703,Water - Precipitation - snow,1997-03-15,1997-03-01,1997-03-31,,-11.7,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-87.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,21,-0.7,4.2
GNIP,GNIP/M/XX/01,KURSK,RU,3400900,51.73333333,36.26666667,210,Precipitation collectors - unknown,"[Partner: Tokyo Institute of Technology], [Reference: Kurita et al. 2004]",199704,"Water - Precipitation - rain & snow (""mixed"")",1997-04-15,1997-04-01,1997-04-30,,-12.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",-100.9,"Naohiro Yoshida Laboratory, Tokyo Institute of Technology",,,,47,5.1,5.7
