Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Alkalinity,Alkalinity Provider
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201409,Water - Precipitation - rain,2014-09-15,2014-08-26,2014-09-28,,-3.99,International Atomic Energy Agency,-16.1,International Atomic Energy Agency,,,,212.3,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201410,Water - Precipitation - rain,2014-10-15,2014-09-28,2014-10-30,,-2.3,International Atomic Energy Agency,-4.1,International Atomic Energy Agency,,,,141.9,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201411,Water - Precipitation - rain,2014-11-15,2014-10-30,2014-11-28,,-3.44,International Atomic Energy Agency,-13.1,International Atomic Energy Agency,,,,123.2,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201412,Water - Precipitation - rain,2014-12-15,2014-11-28,2014-12-30,,-1.53,International Atomic Energy Agency,6.4,International Atomic Energy Agency,,,,214.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201501,Water - Precipitation - rain,2015-01-15,2014-12-30,2015-01-30,,1.97,International Atomic Energy Agency,32.9,International Atomic Energy Agency,,,,75.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201502,Water - Precipitation - rain,2015-02-15,2015-01-30,2015-02-26,,1.54,International Atomic Energy Agency,28.6,International Atomic Energy Agency,,,,49.5,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201503,Water - Precipitation - rain,2015-03-15,2015-02-26,2015-03-31,,-1.77,International Atomic Energy Agency,0.9,International Atomic Energy Agency,,,,119.4,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201504,Water - Precipitation - rain,2015-04-15,2015-03-31,2015-04-30,,-3.39,International Atomic Energy Agency,-13.1,International Atomic Energy Agency,,,,162.9,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201505,Water - Precipitation - rain,2015-05-15,2015-04-30,2015-05-25,,-3.44,International Atomic Energy Agency,-14.3,International Atomic Energy Agency,,,,98.7,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201506,Water - Precipitation - rain,2015-06-15,2015-05-25,2015-06-27,,-3.48,International Atomic Energy Agency,-14.4,International Atomic Energy Agency,,,,40.4,,,,
