Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Alkalinity,Alkalinity Provider
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198201,Water - Precipitation - rain,1982-01-15,1982-01-01,1982-01-31,,0.47,International Atomic Energy Agency,17.9,International Atomic Energy Agency,,,,49,16.9,10.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198202,Water - Precipitation - rain,1982-02-15,1982-02-01,1982-02-28,,2.22,International Atomic Energy Agency,30.4,International Atomic Energy Agency,,,,81,17.7,11.7,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198203,Water - Precipitation - rain,1982-03-15,1982-03-01,1982-03-31,,2.55,International Atomic Energy Agency,28.4,International Atomic Energy Agency,,,,58,18.3,10,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198204,Water - Precipitation - rain,1982-04-15,1982-04-01,1982-04-30,,1.07,International Atomic Energy Agency,22,International Atomic Energy Agency,,,,104,17.7,12.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198205,Water - Precipitation - rain,1982-05-15,1982-05-01,1982-05-31,,-3.3,International Atomic Energy Agency,-16.5,International Atomic Energy Agency,,,,116,18.5,10.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198206,Water - Precipitation - rain,1982-06-15,1982-06-01,1982-06-30,,3.15,International Atomic Energy Agency,25.2,International Atomic Energy Agency,,,,38,17.8,11.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198207,Water - Precipitation - rain,1982-07-15,1982-07-01,1982-07-31,,0.2,International Atomic Energy Agency,15.4,International Atomic Energy Agency,,,,259,16.2,13.7,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198208,Water - Precipitation - rain,1982-08-15,1982-08-01,1982-08-31,,-5.45,International Atomic Energy Agency,-30.6,International Atomic Energy Agency,,,,258,15.9,13.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198209,Water - Precipitation - rain,1982-09-15,1982-09-01,1982-09-30,,-0.03,International Atomic Energy Agency,13.4,International Atomic Energy Agency,,,,134,16.7,13.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198210,Water - Precipitation - rain,1982-10-15,1982-10-01,1982-10-31,,-4.86,International Atomic Energy Agency,-24.9,International Atomic Energy Agency,,,,64,16.1,10.7,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198211,Water - Precipitation - rain,1982-11-15,1982-11-01,1982-11-30,,-5.87,International Atomic Energy Agency,-33.8,International Atomic Energy Agency,,,,43,16.4,11.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198212,Water - Precipitation - rain,1982-12-15,1982-12-01,1982-12-31,,-1.36,International Atomic Energy Agency,5.4,International Atomic Energy Agency,,,,12,16.5,10.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198301,Water - Precipitation - rain,1983-01-15,1983-01-01,1983-01-31,,,,,,,,,18,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198302,Water - Precipitation - unspecified (not reported),1983-02-15,1983-02-01,1983-02-28,,,,,,,,,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198303,Water - Precipitation - rain,1983-03-15,1983-03-01,1983-03-31,,,,,,,,,49,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198304,Water - Precipitation - rain,1983-04-15,1983-04-01,1983-04-30,,,,,,,,,117,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198305,Water - Precipitation - rain,1983-05-15,1983-05-01,1983-05-31,,,,,,,,,237,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198306,Water - Precipitation - rain,1983-06-15,1983-06-01,1983-06-30,,,,,,,,,109,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198307,Water - Precipitation - rain,1983-07-15,1983-07-01,1983-07-31,,,,,,,,,199,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198308,Water - Precipitation - rain,1983-08-15,1983-08-01,1983-08-31,,,,,,,,,26,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198309,Water - Precipitation - rain,1983-09-15,1983-09-01,1983-09-30,,,,,,,,,162,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198310,Water - Precipitation - rain,1983-10-15,1983-10-01,1983-10-31,,,,,,,,,26,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198311,Water - Precipitation - unspecified (not reported),1983-11-15,1983-11-01,1983-11-30,,,,,,,,,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198312,Water - Precipitation - rain,1983-12-15,1983-12-01,1983-12-31,,,,,,,,,9,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198401,Water - Precipitation - unspecified (not reported),1984-01-15,1984-01-01,1984-01-31,,,,,,,,,,15.6,7.2,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198402,Water - Precipitation - rain,1984-02-15,1984-02-01,1984-02-29,,0.54,International Atomic Energy Agency,4.9,International Atomic Energy Agency,7.5,3.4,International Atomic Energy Agency,8,16.7,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198403,Water - Precipitation - rain,1984-03-15,1984-03-01,1984-03-31,,5.42,International Atomic Energy Agency,35.7,International Atomic Energy Agency,10.3,2.5,International Atomic Energy Agency,10,19.3,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198404,Water - Precipitation - rain,1984-04-15,1984-04-01,1984-04-30,,6.13,International Atomic Energy Agency,42.7,International Atomic Energy Agency,10.5,2.9,International Atomic Energy Agency,9,19,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198405,Water - Precipitation - rain,1984-05-15,1984-05-01,1984-05-31,,-0.88,International Atomic Energy Agency,4.1,International Atomic Energy Agency,7.1,0.3,International Atomic Energy Agency,128,18.7,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198406,Water - Precipitation - rain,1984-06-15,1984-06-01,1984-06-30,,0.55,International Atomic Energy Agency,19.5,International Atomic Energy Agency,11.3,0.4,International Atomic Energy Agency,221,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198407,Water - Precipitation - rain,1984-07-15,1984-07-01,1984-07-31,,0.1,International Atomic Energy Agency,12.4,International Atomic Energy Agency,16.3,0.5,International Atomic Energy Agency,296,19.9,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198408,Water - Precipitation - rain,1984-08-15,1984-08-01,1984-08-31,,0.3,International Atomic Energy Agency,2.1,International Atomic Energy Agency,16.2,0.5,International Atomic Energy Agency,296,16.6,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198409,Water - Precipitation - rain,1984-09-15,1984-09-01,1984-09-30,,,,,,12.7,0.4,International Atomic Energy Agency,142,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198410,Water - Precipitation - unspecified (not reported),1984-10-15,1984-10-01,1984-10-31,,,,,,,,,,16.5,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198411,Water - Precipitation - rain,1984-11-15,1984-11-01,1984-11-30,,-0.21,International Atomic Energy Agency,4.1,International Atomic Energy Agency,7.4,2.7,International Atomic Energy Agency,4,15.9,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198412,Water - Precipitation - rain,1984-12-15,1984-12-01,1984-12-31,,,,,,,,,16,14.6,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198501,Water - Precipitation - rain,1985-01-15,1985-01-01,1985-01-31,,-1.21,International Atomic Energy Agency,-1.4,International Atomic Energy Agency,6.2,3.2,International Atomic Energy Agency,14,16,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198502,Water - Precipitation - unspecified (not reported),1985-02-15,1985-02-01,1985-02-28,,,,,,,,,,16.3,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198503,Water - Precipitation - rain,1985-03-15,1985-03-01,1985-03-31,,,,,,6.4,0.3,International Atomic Energy Agency,22,18,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198504,Water - Precipitation - rain,1985-04-15,1985-04-01,1985-04-30,,-0.53,International Atomic Energy Agency,9.4,International Atomic Energy Agency,7,0.3,International Atomic Energy Agency,96,17.1,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198505,Water - Precipitation - rain,1985-05-15,1985-05-01,1985-05-31,,,,,,7.9,0.3,International Atomic Energy Agency,84,17.4,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198506,Water - Precipitation - rain,1985-06-15,1985-06-01,1985-06-30,,1.69,International Atomic Energy Agency,27,International Atomic Energy Agency,13.8,0.4,International Atomic Energy Agency,147,16.6,9.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198507,Water - Precipitation - rain,1985-07-15,1985-07-01,1985-07-31,,-1.02,International Atomic Energy Agency,5.2,International Atomic Energy Agency,16.6,0.4,International Atomic Energy Agency,260,15,10.5,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198508,Water - Precipitation - rain,1985-08-15,1985-08-01,1985-08-31,,-3.05,International Atomic Energy Agency,-13.9,International Atomic Energy Agency,15.1,0.4,International Atomic Energy Agency,326,15.1,11.1,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198509,Water - Precipitation - rain,1985-09-15,1985-09-01,1985-09-30,,0.16,International Atomic Energy Agency,17.2,International Atomic Energy Agency,10.1,0.3,International Atomic Energy Agency,205,15.5,10.3,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198510,Water - Precipitation - rain,1985-10-15,1985-10-01,1985-10-31,,,,,,10.4,0.6,International Atomic Energy Agency,58,16.7,7.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198511,Water - Precipitation - rain,1985-11-15,1985-11-01,1985-11-30,,,,,,11.4,1.6,International Atomic Energy Agency,3,15.5,6.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198512,Water - Precipitation - rain,1985-12-15,1985-12-01,1985-12-31,,1.83,International Atomic Energy Agency,23.2,International Atomic Energy Agency,25,2.2,International Atomic Energy Agency,2,15.2,6.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198601,Water - Precipitation - unspecified (not reported),1986-01-15,1986-01-01,1986-01-31,,,,,,,,,,15.5,7.5,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198602,Water - Precipitation - rain,1986-02-15,1986-02-01,1986-02-28,,,,,,,,,36,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198603,Water - Precipitation - unspecified (not reported),1986-03-15,1986-03-01,1986-03-31,,,,,,14.9,0.4,International Atomic Energy Agency,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198604,Water - Precipitation - unspecified (not reported),1986-04-15,1986-04-01,1986-04-30,,1.89,International Atomic Energy Agency,26.4,International Atomic Energy Agency,7.4,0.3,International Atomic Energy Agency,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198605,Water - Precipitation - rain,1986-05-15,1986-05-01,1986-05-31,,,,,,,,,131,21.6,12.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198606,Water - Precipitation - rain,1986-06-15,1986-06-01,1986-06-30,,-0.66,International Atomic Energy Agency,6.3,International Atomic Energy Agency,11.3,0.3,International Atomic Energy Agency,186,16.4,9.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198607,Water - Precipitation - rain,1986-07-15,1986-07-01,1986-07-31,,0.94,International Atomic Energy Agency,14.9,International Atomic Energy Agency,15,0.4,International Atomic Energy Agency,214,15.9,9.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198608,Water - Precipitation - rain,1986-08-15,1986-08-01,1986-08-31,,-1.97,International Atomic Energy Agency,-0.5,International Atomic Energy Agency,14.9,0.4,International Atomic Energy Agency,263,15.8,10.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198609,Water - Precipitation - rain,1986-09-15,1986-09-01,1986-09-30,,,,,,,,,129,15.7,10,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198610,Water - Precipitation - rain,1986-10-15,1986-10-01,1986-10-31,,,,,,,,,36,15.9,7.7,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198611,Water - Precipitation - unspecified (not reported),1986-11-15,1986-11-01,1986-11-30,,,,,,,,,,15.9,6.7,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198612,Water - Precipitation - unspecified (not reported),1986-12-15,1986-12-01,1986-12-31,,,,,,,,,,16,7.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198701,Water - Precipitation - unspecified (not reported),1987-01-15,1987-01-01,1987-01-31,,,,,,,,,,15.6,7.5,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198702,Water - Precipitation - rain,1987-02-15,1987-02-01,1987-02-28,,,,,,6.6,0.3,International Atomic Energy Agency,54,17.3,8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198703,Water - Precipitation - rain,1987-03-15,1987-03-01,1987-03-31,,,,,,,,,235,17.6,10.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198704,Water - Precipitation - rain,1987-04-15,1987-04-01,1987-04-30,,,,,,,,,97,17.7,9.8,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198705,Water - Precipitation - rain,1987-05-15,1987-05-01,1987-05-31,,-5.45,International Atomic Energy Agency,-32.7,International Atomic Energy Agency,4.6,0.2,International Atomic Energy Agency,177,17.5,12.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198706,Water - Precipitation - rain,1987-06-15,1987-06-01,1987-06-30,,4.87,International Atomic Energy Agency,34.6,International Atomic Energy Agency,11.8,0.4,International Atomic Energy Agency,82,16.5,13.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198707,Water - Precipitation - rain,1987-07-15,1987-07-01,1987-07-31,,1.26,International Atomic Energy Agency,27.1,International Atomic Energy Agency,11.7,0.3,International Atomic Energy Agency,197,16.3,11.4,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198708,Water - Precipitation - rain,1987-08-15,1987-08-01,1987-08-31,,-0.92,International Atomic Energy Agency,10.4,International Atomic Energy Agency,12.1,0.4,International Atomic Energy Agency,167,17,11,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198709,Water - Precipitation - rain,1987-09-15,1987-09-01,1987-09-30,,0.27,International Atomic Energy Agency,15.8,International Atomic Energy Agency,9.3,0.2,International Atomic Energy Agency,114,17.8,8.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198710,Water - Precipitation - rain,1987-10-15,1987-10-01,1987-10-31,,,,,,4.8,0.2,International Atomic Energy Agency,21,17.7,8.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198711,Water - Precipitation - unspecified (not reported),1987-11-15,1987-11-01,1987-11-30,,,,,,,,,,16.7,6.9,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198712,Water - Precipitation - unspecified (not reported),1987-12-15,1987-12-01,1987-12-31,,,,,,,,,,16.7,7.6,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198801,Water - Precipitation - rain,1988-01-15,1988-01-01,1988-01-31,,,,,,,,,9,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198802,Water - Precipitation - rain,1988-02-15,1988-02-01,1988-02-29,,,,,,,,,53,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198803,Water - Precipitation - rain,1988-03-15,1988-03-01,1988-03-31,,,,,,,,,3,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198804,Water - Precipitation - rain,1988-04-15,1988-04-01,1988-04-30,,,,,,,,,195,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198805,Water - Precipitation - rain,1988-05-15,1988-05-01,1988-05-31,,,,,,,,,15,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198806,Water - Precipitation - rain,1988-06-15,1988-06-01,1988-06-30,,,,,,,,,92,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198807,Water - Precipitation - rain,1988-07-15,1988-07-01,1988-07-31,,,,,,,,,268,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198808,Water - Precipitation - rain,1988-08-15,1988-08-01,1988-08-31,,,,,,,,,316,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198809,Water - Precipitation - rain,1988-09-15,1988-09-01,1988-09-30,,,,,,,,,232,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198810,Water - Precipitation - rain,1988-10-15,1988-10-01,1988-10-31,,,,,,,,,59,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198811,Water - Precipitation - unspecified (not reported),1988-11-15,1988-11-01,1988-11-30,,,,,,,,,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198812,Water - Precipitation - unspecified (not reported),1988-12-15,1988-12-01,1988-12-31,,,,,,,,,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198901,Water - Precipitation - rain,1989-01-15,1989-01-01,1989-01-31,,,,,,,,,3,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198902,Water - Precipitation - rain,1989-02-15,1989-02-01,1989-02-28,,,,,,,,,75,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198903,Water - Precipitation - rain,1989-03-15,1989-03-01,1989-03-31,,,,,,,,,76,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198904,Water - Precipitation - rain,1989-04-15,1989-04-01,1989-04-30,,,,,,,,,151,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198905,Water - Precipitation - unspecified (not reported),1989-05-15,1989-05-01,1989-05-31,,,,,,,,,,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198906,Water - Precipitation - rain,1989-06-15,1989-06-01,1989-06-30,,,,,,,,,98,,,,
GNIP,GNIP/M/ET/01,ADDIS ABABA,ET,6345000,9,38.73,2360,Precipitation collectors - unknown,"[Partner: National Meteorological Agency, Addis Ababa]",198907,Water - Precipitation - rain,1989-07-15,1989-07-01,1989-07-31,,,,,,,,,207,,,,
