Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196101,Water - Precipitation - unspecified (not reported),1961-01-15,1961-01-01,1961-01-31,,,,,,,,,142,6.5,6.3
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196102,Water - Precipitation - unspecified (not reported),1961-02-15,1961-02-01,1961-02-28,,,,,,26,,,53,10.6,8.1
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196103,Water - Precipitation - unspecified (not reported),1961-03-15,1961-03-01,1961-03-31,,,,,,,,,,12.3,9.2
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196104,Water - Precipitation - unspecified (not reported),1961-04-15,1961-04-01,1961-04-30,,,,,,75,,,194,15.5,12.1
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196105,Water - Precipitation - unspecified (not reported),1961-05-15,1961-05-01,1961-05-31,,,,,,103,,,32,16.6,11.7
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196106,Water - Precipitation - unspecified (not reported),1961-06-15,1961-06-01,1961-06-30,,,,,,76,,,38,20.8,17.1
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196107,Water - Precipitation - unspecified (not reported),1961-07-15,1961-07-01,1961-07-31,,,,,,85,,,28,23,17.1
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196108,Water - Precipitation - unspecified (not reported),1961-08-15,1961-08-01,1961-08-31,,,,,,,,,15,23.7,17.8
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196109,Water - Precipitation - unspecified (not reported),1961-09-15,1961-09-01,1961-09-30,,,,,,40,,,164,22.9,18.9
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196110,Water - Precipitation - unspecified (not reported),1961-10-15,1961-10-01,1961-10-31,,,,,,36,,,247,17.9,13.1
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196111,Water - Precipitation - unspecified (not reported),1961-11-15,1961-11-01,1961-11-30,,-8.3,University of Copenhagen,-63.9,University of Copenhagen,132,,Technische Hochschule,360,11.5,8.6
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196112,Water - Precipitation - unspecified (not reported),1961-12-15,1961-12-01,1961-12-31,,-5.4,University of Copenhagen,-31.6,University of Copenhagen,98.2,,Technische Hochschule,133,8.9,8.2
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196201,Water - Precipitation - unspecified (not reported),1962-01-15,1962-01-01,1962-01-31,,-3.9,University of Copenhagen,-13.7,University of Copenhagen,161,,Technische Hochschule,72,9,7.3
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196202,Water - Precipitation - unspecified (not reported),1962-02-15,1962-02-01,1962-02-28,,-8.6,University of Copenhagen,-57,University of Copenhagen,615,,Technische Hochschule,93,7.9,6.3
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196203,Water - Precipitation - unspecified (not reported),1962-03-15,1962-03-01,1962-03-31,,-7.8,University of Copenhagen,-49.6,University of Copenhagen,459,6.4,International Atomic Energy Agency,119,7.8,6.6
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196204,Water - Precipitation - unspecified (not reported),1962-04-15,1962-04-01,1962-04-30,,-4,University of Copenhagen,-15.5,University of Copenhagen,588,15,International Atomic Energy Agency,199,13.5,10.5
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196205,Water - Precipitation - unspecified (not reported),1962-05-15,1962-05-01,1962-05-31,,-3,University of Copenhagen,-32.3,University of Copenhagen,762,19,International Atomic Energy Agency,81,15.2,13.2
GNIP,GNIP/M/XX/01,GENOA (SESTRI),IT,1612000,44.42,8.85,2,Precipitation collectors - unknown,"[Partner: IGG-CNR, Pisa]",196206,Water - Precipitation - unspecified (not reported),1962-06-15,1962-06-01,1962-06-30,,-3.6,University of Copenhagen,-34.1,University of Copenhagen,845,,International Atomic Energy Agency,49,20,16.8
