Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200401,"Water - Precipitation - rain & snow (""mixed"")",2004-01-15,,,,-11.46,International Atomic Energy Agency,-73.5,International Atomic Energy Agency,,,,191.4,5.1,7.4,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200402,"Water - Precipitation - rain & snow (""mixed"")",2004-02-15,,,,-7.93,International Atomic Energy Agency,-49.4,International Atomic Energy Agency,,,,20.6,6.8,7.3,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200403,"Water - Precipitation - rain & snow (""mixed"")",2004-03-15,,,,-3.52,International Atomic Energy Agency,-14.4,International Atomic Energy Agency,,,,16.2,9,8.5,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200404,Water - Precipitation - rain,2004-04-15,,,,-3.96,International Atomic Energy Agency,-24.6,International Atomic Energy Agency,,,,24.6,12.3,9.7,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200405,Water - Precipitation - rain,2004-05-15,,,,-5.06,International Atomic Energy Agency,-29.4,International Atomic Energy Agency,,,,20.6,16,11.3,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200406,Water - Precipitation - rain,2004-06-15,,,,-2.57,International Atomic Energy Agency,-16.6,International Atomic Energy Agency,,,,2.4,21.9,15.8,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200407,Water - Precipitation - unspecified (not reported),2004-07-15,,,,,,,,,,,,24.2,15.4,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200408,Water - Precipitation - rain,2004-08-15,,,,-3.04,International Atomic Energy Agency,-14.9,International Atomic Energy Agency,,,,3.4,24,17,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200409,Water - Precipitation - unspecified (not reported),2004-09-15,,,,,,,,,,,,20.1,15.5,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200410,Water - Precipitation - rain,2004-10-15,,,,-5.23,International Atomic Energy Agency,-32.1,International Atomic Energy Agency,,,,33.8,17.8,15.5,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200411,Water - Precipitation - rain,2004-11-15,,,,-6.03,International Atomic Energy Agency,-29.9,International Atomic Energy Agency,,,,52.8,11.7,11,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200412,Water - Precipitation - rain,2004-12-15,,,,-6.42,International Atomic Energy Agency,-33,International Atomic Energy Agency,,,,164.6,9,9.6,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200601,"Water - Precipitation - rain & snow (""mixed"")",2006-01-15,2006-01-01,2006-01-31,,-8.21,International Atomic Energy Agency,-47.93,International Atomic Energy Agency,,,,73.8,3.7,7,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200602,"Water - Precipitation - rain & snow (""mixed"")",2006-02-15,2006-02-01,2006-02-28,,-5.92,International Atomic Energy Agency,-33.98,International Atomic Energy Agency,,,,84.4,6.3,7.9,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200603,Water - Precipitation - rain,2006-03-15,2006-03-01,2006-03-31,,-9.01,International Atomic Energy Agency,-59.6,International Atomic Energy Agency,,,,67.2,9,9.3,,
GNIP,GNIP/M/GR/01,ATHENS-PENDELI,GR,1671601,38.05011111,23.866675,498,Precipitation collectors - unknown,"[Partners: National Observatory, Athens; University of Patras]",200604,Water - Precipitation - rain,2006-04-15,2006-04-01,2006-04-30,,-4.03,International Atomic Energy Agency,-24.02,International Atomic Energy Agency,,,,18.8,13.6,10.6,,
