Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198401,"Water - Precipitation - rain & snow (""mixed"")",1984-01-15,1984-01-01,1984-01-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-13.11,Jozef Stefan Institute,-96,Jozef Stefan Institute,21.7,1.884722222,Ruder Boskovic Institute,166,-0.5,5.4
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198402,"Water - Precipitation - rain & snow (""mixed"")",1984-02-15,1984-02-01,1984-02-29,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-14.12,Jozef Stefan Institute,-104,Jozef Stefan Institute,30.9,1.950277778,Ruder Boskovic Institute,113,0.3,4.9
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198403,"Water - Precipitation - rain & snow (""mixed"")",1984-03-15,1984-03-01,1984-03-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-11.83,Jozef Stefan Institute,-85,Jozef Stefan Institute,18.7,1.802777778,Ruder Boskovic Institute,64,4.3,5.3
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198404,Water - Precipitation - rain,1984-04-15,1984-04-01,1984-04-30,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-10.67,Jozef Stefan Institute,-74,Jozef Stefan Institute,30.3,1.942083333,Ruder Boskovic Institute,61,9.2,7.2
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198405,Water - Precipitation - rain,1984-05-15,1984-05-01,1984-05-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-7.27,Jozef Stefan Institute,-52,Jozef Stefan Institute,30.7,1.958472222,Ruder Boskovic Institute,137,12.8,10.7
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198406,Water - Precipitation - rain,1984-06-15,1984-06-01,1984-06-30,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-9.94,Jozef Stefan Institute,-68,Jozef Stefan Institute,29.4,1.876527778,Ruder Boskovic Institute,148,17.3,13
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198407,Water - Precipitation - rain,1984-07-15,1984-07-01,1984-07-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-5.73,Jozef Stefan Institute,-37,Jozef Stefan Institute,41.3,2.040416667,Ruder Boskovic Institute,128,18.9,15.1
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198408,Water - Precipitation - rain,1984-08-15,1984-08-01,1984-08-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-6.34,Jozef Stefan Institute,-40,Jozef Stefan Institute,31.9,1.794583333,Ruder Boskovic Institute,128,18.3,15.2
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198409,Water - Precipitation - rain,1984-09-15,1984-09-01,1984-09-30,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-6.21,Jozef Stefan Institute,-39,Jozef Stefan Institute,27.8,1.876527778,Ruder Boskovic Institute,150,14.9,13.7
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198410,Water - Precipitation - rain,1984-10-15,1984-10-01,1984-10-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-7.06,Jozef Stefan Institute,-44,Jozef Stefan Institute,39.7,1.925694444,Ruder Boskovic Institute,147,11.6,11.5
