Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199801,"Water - Precipitation - rain & snow (""mixed"")",1998-01-15,1998-01-01,1998-01-31,,,,,,,,,1,-0.6,3.9
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199802,"Water - Precipitation - rain & snow (""mixed"")",1998-02-15,1998-02-01,1998-02-28,,,,,,,,,3,1,5
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199803,Water - Precipitation - rain,1998-03-15,1998-03-01,1998-03-31,,,,,,,,,54,6.6,5.8
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199804,Water - Precipitation - rain,1998-04-15,1998-04-01,1998-04-30,,,,,,,,,91,14,12.1
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199805,Water - Precipitation - rain,1998-05-15,1998-05-01,1998-05-31,,,,,,,,,102,17.7,13.6
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199806,Water - Precipitation - rain,1998-06-15,1998-06-01,1998-06-30,,,,,,,,,191,23,19.2
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199807,Water - Precipitation - rain,1998-07-15,1998-07-01,1998-07-31,,,,,,,,,122,25.5,24.7
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199808,Water - Precipitation - rain,1998-08-15,1998-08-01,1998-08-31,,,,,,,,,197,25.8,25.8
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199809,Water - Precipitation - unspecified (not reported),1998-09-15,1998-09-01,1998-09-30,,,,,,,,,,22.5,19.3
GNIP,GNIP/M/KR/01,CHEONGJU,KR,4713101,36.62,127.46,62,Precipitation collectors - unknown,"[Partner: Korea Atomic Energy Research Institute, Radwaste division]",199810,Water - Precipitation - rain,1998-10-15,1998-10-01,1998-10-31,,-16.65,International Atomic Energy Agency,-124.4,International Atomic Energy Agency,3.74,0.23,International Atomic Energy Agency,58,15,12.8
