Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196301,"Water - Precipitation - rain & snow (""mixed"")",1963-01-15,1963-01-01,1963-01-31,,,,,,,,,90,2.4,5
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196302,"Water - Precipitation - rain & snow (""mixed"")",1963-02-15,1963-02-01,1963-02-28,,,,,,,,,81,4.5,5.2
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196303,Water - Precipitation - rain,1963-03-15,1963-03-01,1963-03-31,,,,,,,,,33,3.8,5.6
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196304,Water - Precipitation - rain,1963-04-15,1963-04-01,1963-04-30,,,,,,,,,82,10.3,7.2
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196305,Water - Precipitation - rain,1963-05-15,1963-05-01,1963-05-31,,,,,,,,,122,14.4,9.9
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196306,Water - Precipitation - rain,1963-06-15,1963-06-01,1963-06-30,,,,,,6020,100,Weizmann Institute of Sciences,23,19.3,11.2
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196307,Water - Precipitation - rain,1963-07-15,1963-07-01,1963-07-31,,-2.77,University of Copenhagen,,,5400,200,Weizmann Institute of Sciences,21,23.9,11.6
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196308,Water - Precipitation - unspecified (not reported),1963-08-15,1963-08-01,1963-08-31,,,,,,,,,,24.2,10.9
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196309,Water - Precipitation - rain,1963-09-15,1963-09-01,1963-09-30,,-7.63,University of Copenhagen,,,2510,100,Weizmann Institute of Sciences,64,18.3,9.2
GNIP,GNIP/M/TR/01,ANKARA (CENTRAL),TR,1713000,39.95,32.88,902,Precipitation collectors - unknown,"[Partner: Turkish State Meteorological Service, Ankara]",196310,Water - Precipitation - rain,1963-10-15,1963-10-01,1963-10-31,,-9.2,University of Copenhagen,,,1350,40,Weizmann Institute of Sciences,28,15.8,8.1
