Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196101,Water - Precipitation - unspecified (not reported),1961-01-15,1961-01-01,1961-01-31,,,,,,,,,30,20.3,15.9
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196102,Water - Precipitation - unspecified (not reported),1961-02-15,1961-02-01,1961-02-28,,,,,,,,,10,19.9,14.8
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196103,Water - Precipitation - unspecified (not reported),1961-03-15,1961-03-01,1961-03-31,,,,,,,,,10,19.7,15.8
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196104,Water - Precipitation - unspecified (not reported),1961-04-15,1961-04-01,1961-04-30,,-2.6,University of Copenhagen,-8.7,University of Copenhagen,16.2,,Radioactive Dating Laboratory,60,17.5,14.5
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196105,Water - Precipitation - unspecified (not reported),1961-05-15,1961-05-01,1961-05-31,,-2.6,University of Copenhagen,-12.4,University of Copenhagen,8.8,,Radioactive Dating Laboratory,30,13.5,12
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196106,Water - Precipitation - unspecified (not reported),1961-06-15,1961-06-01,1961-06-30,,-3.1,University of Copenhagen,-12.4,University of Copenhagen,10.4,,Radioactive Dating Laboratory,90,13.1,11.9
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196107,Water - Precipitation - unspecified (not reported),1961-07-15,1961-07-01,1961-07-31,,-3.5,University of Copenhagen,-16.2,University of Copenhagen,8.2,,Radioactive Dating Laboratory,40,12.8,11.3
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196108,Water - Precipitation - unspecified (not reported),1961-08-15,1961-08-01,1961-08-31,,-2,University of Copenhagen,-5.6,University of Copenhagen,5.4,,Radioactive Dating Laboratory,70,12.7,11.4
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196109,Water - Precipitation - unspecified (not reported),1961-09-15,1961-09-01,1961-09-30,,-1.2,University of Copenhagen,8.1,University of Copenhagen,12.5,,Radioactive Dating Laboratory,80,13.4,12.2
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196110,Water - Precipitation - unspecified (not reported),1961-10-15,1961-10-01,1961-10-31,,-3.8,University of Copenhagen,-5,University of Copenhagen,14.3,,Radioactive Dating Laboratory,20,13.9,11.4
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196111,Water - Precipitation - unspecified (not reported),1961-11-15,1961-11-01,1961-11-30,,,,,,,,,,18.3,14.7
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196112,Water - Precipitation - unspecified (not reported),1961-12-15,1961-12-01,1961-12-31,,-2,University of Copenhagen,-3.8,University of Copenhagen,15.5,,Radioactive Dating Laboratory,10,18.8,14.3
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196201,Water - Precipitation - unspecified (not reported),1962-01-15,1962-01-01,1962-01-31,,-3.3,University of Copenhagen,-13,University of Copenhagen,13.7,,Radioactive Dating Laboratory,5,20.2,16.5
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196202,Water - Precipitation - unspecified (not reported),1962-02-15,1962-02-01,1962-02-28,,-2.9,University of Copenhagen,-17.4,University of Copenhagen,25.9,,Radioactive Dating Laboratory,40,20.1,17.1
GNIP,GNIP/M/ZA/02,CAPE TOWN AIRPORT,ZA,6881600,-33.97,18.6,44,Precipitation collectors - unknown,"[Partners: South African Weather Service; iThemba labs, Gauteng], [Info: formerly ""MALAN (CAPE TOWN)""]",196203,Water - Precipitation - unspecified (not reported),1962-03-15,1962-03-01,1962-03-31,,-2.1,University of Copenhagen,-9.4,University of Copenhagen,4.3,,Radioactive Dating Laboratory,40,18.9,16.1
