Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197812,"Water - Precipitation - rain & snow (""mixed"")",1978-12-15,1978-12-01,1978-12-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.71,Helmholtz-Forschungszentrum,-103,Helmholtz-Forschungszentrum,41.4,3.8,Bundesanstalt fuer Gewaesserkunde,46.3,-1.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197901,"Water - Precipitation - rain & snow (""mixed"")",1979-01-15,1979-01-01,1979-01-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.33,Helmholtz-Forschungszentrum,-113.7,Helmholtz-Forschungszentrum,55.8,3.1,Bundesanstalt fuer Gewaesserkunde,70.6,-5.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197902,"Water - Precipitation - rain & snow (""mixed"")",1979-02-15,1979-02-01,1979-02-28,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.12,Helmholtz-Forschungszentrum,-111.7,Helmholtz-Forschungszentrum,42.8,3.4,Bundesanstalt fuer Gewaesserkunde,62.2,-0.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197903,"Water - Precipitation - rain & snow (""mixed"")",1979-03-15,1979-03-01,1979-03-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-15.44,Helmholtz-Forschungszentrum,-117.4,Helmholtz-Forschungszentrum,137,4.5,Bundesanstalt fuer Gewaesserkunde,169.5,3.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197904,"Water - Precipitation - rain & snow (""mixed"")",1979-04-15,1979-04-01,1979-04-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.61,Helmholtz-Forschungszentrum,-124.8,Helmholtz-Forschungszentrum,68.3,3.4,Bundesanstalt fuer Gewaesserkunde,125.2,4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197905,Water - Precipitation - rain,1979-05-15,1979-05-01,1979-05-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.55,Helmholtz-Forschungszentrum,-66.1,Helmholtz-Forschungszentrum,74.6,3.4,Bundesanstalt fuer Gewaesserkunde,127.1,11.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197906,Water - Precipitation - rain,1979-06-15,1979-06-01,1979-06-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.57,Helmholtz-Forschungszentrum,-68,Helmholtz-Forschungszentrum,98.9,3.9,Bundesanstalt fuer Gewaesserkunde,333.3,14,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197907,Water - Precipitation - rain,1979-07-15,1979-07-01,1979-07-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-5.34,Helmholtz-Forschungszentrum,-34.1,Helmholtz-Forschungszentrum,101,4.2,Bundesanstalt fuer Gewaesserkunde,131.1,14.5,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197908,Water - Precipitation - rain,1979-08-15,1979-08-01,1979-08-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.76,Helmholtz-Forschungszentrum,-67.7,Helmholtz-Forschungszentrum,73.9,3.7,Bundesanstalt fuer Gewaesserkunde,237.4,14.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197909,Water - Precipitation - rain,1979-09-15,1979-09-01,1979-09-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-13.37,Helmholtz-Forschungszentrum,-99.5,Helmholtz-Forschungszentrum,58.6,3.5,Bundesanstalt fuer Gewaesserkunde,109.2,11.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197910,Water - Precipitation - rain,1979-10-15,1979-10-01,1979-10-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-11.92,Helmholtz-Forschungszentrum,-89,Helmholtz-Forschungszentrum,53,2.8,Bundesanstalt fuer Gewaesserkunde,36.1,8.3,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197911,"Water - Precipitation - rain & snow (""mixed"")",1979-11-15,1979-11-01,1979-11-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-11.15,Helmholtz-Forschungszentrum,-79.7,Helmholtz-Forschungszentrum,75.9,3.6,Bundesanstalt fuer Gewaesserkunde,199.8,0.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197912,"Water - Precipitation - rain & snow (""mixed"")",1979-12-15,1979-12-01,1979-12-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.84,Helmholtz-Forschungszentrum,-100.9,Helmholtz-Forschungszentrum,37,3.1,Bundesanstalt fuer Gewaesserkunde,94.8,1.2,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198001,"Water - Precipitation - rain & snow (""mixed"")",1980-01-15,1980-01-01,1980-01-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.56,Helmholtz-Forschungszentrum,-126.4,Helmholtz-Forschungszentrum,47.1,5.1,Bundesanstalt fuer Gewaesserkunde,95.4,-4.9,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198002,"Water - Precipitation - rain & snow (""mixed"")",1980-02-15,1980-02-01,1980-02-29,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-10.62,Helmholtz-Forschungszentrum,-73.5,Helmholtz-Forschungszentrum,36.5,5.3,Bundesanstalt fuer Gewaesserkunde,63.5,0.6,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198003,"Water - Precipitation - rain & snow (""mixed"")",1980-03-15,1980-03-01,1980-03-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-13.36,Helmholtz-Forschungszentrum,-104.2,Helmholtz-Forschungszentrum,39.3,5.3,Bundesanstalt fuer Gewaesserkunde,64,2.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198004,"Water - Precipitation - rain & snow (""mixed"")",1980-04-15,1980-04-01,1980-04-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-13.55,Helmholtz-Forschungszentrum,-99.8,Helmholtz-Forschungszentrum,41.8,4.8,Bundesanstalt fuer Gewaesserkunde,161.3,3.3,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198005,Water - Precipitation - rain,1980-05-15,1980-05-01,1980-05-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.03,Helmholtz-Forschungszentrum,-93,Helmholtz-Forschungszentrum,54.7,4.2,Bundesanstalt fuer Gewaesserkunde,60.1,9.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198006,Water - Precipitation - rain,1980-06-15,1980-06-01,1980-06-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-8.74,Helmholtz-Forschungszentrum,-64.7,Helmholtz-Forschungszentrum,60.9,4.2,Bundesanstalt fuer Gewaesserkunde,167.5,13,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198007,Water - Precipitation - rain,1980-07-15,1980-07-01,1980-07-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.24,Helmholtz-Forschungszentrum,-70.8,Helmholtz-Forschungszentrum,54.6,4.5,Bundesanstalt fuer Gewaesserkunde,178.3,13.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198008,Water - Precipitation - rain,1980-08-15,1980-08-01,1980-08-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-5.73,Helmholtz-Forschungszentrum,-41.4,Helmholtz-Forschungszentrum,49.6,4.7,Bundesanstalt fuer Gewaesserkunde,74.1,16.6,
